layer,ground_truth_prob,top_1_prob,category,prompt_id
0,3.3300284485449083e-06,0.013326321728527546,painters,p_128
1,1.0169891311306856e-06,0.010310596786439419,painters,p_128
2,6.627535071856983e-07,0.03562386333942413,painters,p_128
3,1.0775540886243107e-06,0.00831054151058197,painters,p_128
4,8.081451028374431e-07,0.0069227502681314945,painters,p_128
5,1.221087813974009e-06,0.014062170870602131,painters,p_128
6,3.989890046796063e-06,0.017287936061620712,painters,p_128
7,3.10588148977331e-07,0.026851000264286995,painters,p_128
8,3.4836189115594607e-06,0.03129878267645836,painters,p_128
9,1.7897009456646629e-06,0.021293925121426582,painters,p_128
10,4.409163921081927e-06,0.008745744824409485,painters,p_128
11,9.454795986130193e-07,0.014650175347924232,painters,p_128
12,6.021897661412368e-06,0.02749400958418846,painters,p_128
13,1.9837736999761546e-06,0.030944958329200745,painters,p_128
14,9.707374601930496e-07,0.01197979785501957,painters,p_128
15,1.974802216864191e-06,0.04491910710930824,painters,p_128
16,1.5303387499443488e-06,0.015101720578968525,painters,p_128
17,1.6948151824180968e-06,0.009516042657196522,painters,p_128
18,4.5077317736286204e-06,0.012768869288265705,painters,p_128
19,8.630414413346443e-06,0.011975102126598358,painters,p_128
20,8.143048034980893e-06,0.01843789964914322,painters,p_128
21,7.836199984012637e-06,0.10061583667993546,painters,p_128
22,4.348763468442485e-06,0.20316757261753082,painters,p_128
23,1.6313508240273222e-05,0.1742224097251892,painters,p_128
24,2.9392720534815453e-05,0.07528850436210632,painters,p_128
25,8.26811883598566e-05,0.23986098170280457,painters,p_128
26,6.200760981300846e-05,0.2711900472640991,painters,p_128
27,8.573632658226416e-05,0.16093309223651886,painters,p_128
28,7.990882295416668e-05,0.056390129029750824,painters,p_128
29,6.636580656049773e-05,0.035130590200424194,painters,p_128
30,1.6179978047148325e-05,0.6326984167098999,painters,p_128
31,4.154031557845883e-05,0.13422717154026031,painters,p_128
0,3.618933078541886e-06,0.018798967823386192,painters,p_129
1,4.529916259343736e-05,0.00928508397191763,painters,p_129
2,2.975059715026873e-06,0.00983523204922676,painters,p_129
3,2.453350589348702e-07,0.010079950094223022,painters,p_129
4,4.1787714621932537e-07,0.017923353239893913,painters,p_129
5,2.786121342523984e-07,0.01667860709130764,painters,p_129
6,3.2756217933638254e-06,0.00982533860951662,painters,p_129
7,6.008962714076915e-07,0.02189568616449833,painters,p_129
8,9.906599416353856e-07,0.009054035879671574,painters,p_129
9,5.472177235787967e-07,0.010225676000118256,painters,p_129
10,5.233919182501268e-07,0.014665935188531876,painters,p_129
