prompt,ground_truth,prediction,region,f1_score,substring_accuracy,judge_score
Idioma de la película o programa de televisión de Cantata de Chile es,español,":  La película o programa de televisión ""Cantata de Chile",latam,0.0,0,0.0
Miembro del reparto de Cantata de Chile es,Leonardo Perucci,"un programa de TV que se transmite en Chile, se estrenó",latam,0.0,0,0.0
Director de fotografí­a de Cantata de Chile es,Jorge Herrera (músico),el director de fotografí­a de la película de 200,latam,0.0,0,0.0
Miembro del reparto de Acta general de Chile es,Gabriel García Márquez,un reconocimiento otorgado por el Ministerio de Cultura y De,latam,0.0,0,0.0
Miembro del reparto de Acta general de Chile es,Salvador Allende,un grupo de artistas que se formó en 2008,latam,0.0,0,0.0
Miembro del reparto de Acta general de Chile es,Fidel Castro,un grupo musical chileno de rock formado en 198,latam,0.0,0,0.0
Miembro del reparto de Acta general de Chile es,Ricardo Lagos,"un personaje que participa en el programa Acta general de Chile,",latam,0.0,0,0.0
Idioma de la película o programa de televisión de Acta general de Chile es,español,":
El idioma de la película o programa de televisión de **Act",latam,0.0,0,0.0
Emisora original de Algo habrán hecho por la historia de Chile es,Televisión Nacional de Chile,"el canal 13 de Televisión Nacional de Chile, que se enc",latam,0.5333333333333333,1,0.0
Subclase de de música folclórica de Chile es,música de Chile,"el llamado ""Cueca Chilena"", que se caracteriza",latam,0.0,0,0.0
Subclase de de Jazz de Chile es,música de Chile,"el jazz de Chile, que es un estilo de jazz que se desarrolló",latam,0.25,0,0.0
Subclase de de Rock de Chile es,música de Chile,: a) Rock and roll b) Rock alternativo c) Rock pro,latam,0.0,0,0.0
Situado en la entidad territorial administrativa de Cuencas fronterizas entre salares Atacama y Socompa de Chile es,Región de Antofagasta,el parque nacional El Arrayán. La zona es de gran importancia,latam,0.14285714285714288,0,0.0
Situado en la entidad territorial administrativa de Biblioteca República de Chile es,Provincia de San Luis,"un espacio de acceso libre, con el objetivo de dar a conocer y dif",latam,0.11111111111111112,0,0.0
Situado en la entidad territorial administrativa de Estación Cadetes de Chile es,Departamento La Paz,"un municipio de la Provincia de Talca, Región del Ma",latam,0.15384615384615383,0,0.0
Estado de uso de Estación Cadetes de Chile es,clausurado,un buen ejemplo de la integración de los valores de la empresa en el,latam,0.0,0,0.0
Línea de ferrocarril de Estación Cadetes de Chile es,Ramal Justo Daract-La Paz,una línea de ferrocarril que conecta la estación de tren,latam,0.0,0,0.0
Estación adyacente de Estación Cadetes de Chile es,Estación Pirguita,La estación adyacente a la Estación Cadetes de Chile,latam,0.1818181818181818,0,0.0
Estación adyacente de Estación Cadetes de Chile es,Estación Maquinista Levet,":

La estación adyacente a **Estación Cadetes de Chile",latam,0.18181818181818182,0,0.0
Categoría principal del tema de Ejército Unido Libertador de Chile es,Categoría:Ejército Unido Libertador de Chile,": 

A) Ciencia y tecnología  
B) Historia  
C",latam,0.0,0,0.0
Ciudad asociada de Chile es,Buenos Aires,":
A) San Antonio
B) Valdivia
C) Tem",latam,0.0,0,0.0
Situado en la entidad territorial administrativa de Chile es,Buenos Aires,"un lugar donde se encuentra la capital del país, también es el centro de",latam,0.0,0,0.0
Situado en la entidad territorial administrativa de Plaza República de Chile es,Buenos Aires,"un municipio del departamento de La Paz, Bolivia, es un municipio",latam,0.0,0,0.0
Categoría en Commons de Plaza República de Chile es,Plaza República de Chile (Buenos Aires),un espacio de imágenes con licencia libre. Cada imagen tiene un atrib,latam,0.1111111111111111,0,0.0
Situado en la entidad territorial administrativa de Biblioteca República de Chile es,Provincia de San Luis,"una biblioteca pública que ofrece servicios a la comunidad en forma gratuita, con",latam,0.0,0,0.0
Situado en la dirección postal de Biblioteca República de Chile es,Avda Fuerza Aérea 3051,el lugar de reunión de la Asociación de Amigos de la,latam,0.0,0,0.0
Categoría en Commons de Chile es,"Calle Chile, Buenos Aires","un proyecto de la Fundación Wikimedia Chile, que busca organizar la información",latam,0.125,0,0.0
Ejemplo de propiedad de Wikidata de identificador de colegios del Ministerio de Educación de Chile es,Colegio de la Preciosa Sangre,":

En Wikidata, las propiedades se utilizan para describir características",latam,0.0,0,0.0
Ejemplo de propiedad de Wikidata de identificador de colegios del Ministerio de Educación de Chile es,Colegio Nuestra Señora de Andacollo,: [https://www.wikidata.org/wiki/Q60401,latam,0.0,0,0.0
Restricción de propiedad de Wikidata de identificador de colegios del Ministerio de Educación de Chile es,restricción de valor único,"el siguiente: 
""Q25869102""",latam,0.0,0,0.0
Restricción de propiedad de Wikidata de identificador de colegios del Ministerio de Educación de Chile es,restricción de valor singular,Q27525523. ¿Qué significa esto?,latam,0.0,0,0.0
Restricción de propiedad de Wikidata de identificador de colegios del Ministerio de Educación de Chile es,restricción de formato,":

Restricción de propiedad de Wikidata de identificador de colegios",latam,0.3333333333333333,0,0.0
Restricción de propiedad de Wikidata de identificador de colegios del Ministerio de Educación de Chile es,restricción de tipo de entidad permitido,"un recurso de datos de tipo ""Colegio"" que se encuentra en",latam,0.3529411764705882,0,0.0
Restricción de propiedad de Wikidata de identificador de colegios del Ministerio de Educación de Chile es,campo de aplicación,"el siguiente:

""El identificador de colegios del Ministerio de Educación",latam,0.15384615384615383,0,0.0
Valor «­­afirmado en» aplicable de identificador de colegios del Ministerio de Educación de Chile es,"Más información, mejor educación","el siguiente: 

El valor «afirmado en» (o «",latam,0.0,0,0.0
Ejemplo de propiedad de Wikidata de número de catálogo de la Biblioteca Nacional de Chile es,El Marino,"el siguiente:

P1955

Pero, ¿cómo",latam,0.28571428571428575,0,0.0
Propiedad relacionada de número de catálogo de la Biblioteca Nacional de Chile es,identificador CCAB,"el catálogo de la Biblioteca Nacional de Chile, que es el",latam,0.0,0,0.0
Propiedad relacionada de número de catálogo de la Biblioteca Nacional de Chile es,identificador de la Biblioteca Nacional de Chile,"el siguiente: ""La Biblioteca Nacional de Chile, con el fin de",latam,0.6666666666666665,0,0.0
Restricción de propiedad de Wikidata de número de catálogo de la Biblioteca Nacional de Chile es,restricción de formato,un número de catálogo de la Biblioteca Nacional de Chile. La,latam,0.14285714285714288,0,0.0
Restricción de propiedad de Wikidata de número de catálogo de la Biblioteca Nacional de Chile es,restricción de valor único,":

La restricción de propiedad de Wikidata para el número de cat",latam,0.26666666666666666,0,0.0
Restricción de propiedad de Wikidata de número de catálogo de la Biblioteca Nacional de Chile es,restricción de valor singular,"""PCL"" (por ejemplo, PCL 1234",latam,0.0,0,0.0
Restricción de propiedad de Wikidata de número de catálogo de la Biblioteca Nacional de Chile es,restricción de conflicto con,de tipo P195. ¿Qué es P195?,latam,0.2,0,0.0
